ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,Uniprot
5286,PIK3C2A,28,O00443
5304,PIP,50,P12273
5310,PKD1,9,P98161
5311,PKD2,8,Q13563
5313,PKLR,54,P30613
5314,PKHD1,9,P08F94
5333,PLCD1,47,P51178
5351,PLOD1,95,Q02809
5357,PLS1,80,Q14651
5359,PLSCR1,75,O15162
5412,UBL3,38,O95164
5420,PODXL,86,O00592
5476,CTSA,52,P10619
5479,PPIB,133,P23284
5493,PPL,58,O60437
5510,PPP1R7,61,Q15435
5547,PRCP,31,P42785
5576,PRKAR2A,86,P13861
5578,PRKCA,55,P17252
5580,PRKCD,36,Q05655
5583,PRKCH,2,P24723
5584,PRKCI,38,P41743
5590,PRKCZ,11,Q05513
5621,PRNP,49,F7VJQ1
5652,PRSS8,68,Q16651
5657,PRTN3,26,P24158
5660,PSAP,71,P07602
5682,PSMA1,130,P25786
5684,PSMA3,134,P25788
5686,PSMA5,132,P28066
5691,PSMB3,125,P49720
5693,PSMB5,100,P28074
5705,PSMC5,106,P62195
5706,PSMC6,100,P62333
5709,PSMD3,106,O43242
5718,PSMD12,83,O00232
5783,PTPN13,9,Q12923
5800,PTPRO,15,Q16827
5860,QDPR,58,P09417
5865,RAB3B,60,P20337
5872,RAB13,114,P51153
5873,RAB27A,62,P51159
5910,RAP1GDS1,49,P52306
5917,RARS,103,P54136
5934,RBL2,5,Q08999
5950,RBP4,15,P02753
5962,RDX,151,P35241
5973,RENBP,32,P51606
5981,RFC1,5,P35251
6009,RHEB,65,Q15382
6092,ROBO2,26,Q9HCK4
6102,RP2,106,O75695
6205,RPS11,100,P62280
6222,RPS18,135,P62269
6237,RRAS,113,P10301
6239,RREB1,4,Q92766
6261,RYR1,8,P21817
6275,S100A4,66,P26447
6277,S100A6,106,P06703
6279,S100A8,99,P05109
6280,S100A9,89,P06702
6281,S100A10,84,P60903
6286,S100P,38,P25815
6317,SERPINB3,43,P29508
6318,SERPINB4,24,P48594
6336,SCN10A,9,Q9Y5Y9
6382,SDC1,64,P18827
6386,SDCBP,230,O00560
6396,SEC13,38,P55735
6398,SECTM1,24,Q8WVN6
6451,SH3BGRL,66,O75368
6470,SHMT1,61,P34896
6505,SLC1A1,43,P43005
6518,SLC2A5,45,P22732
6519,SLC3A1,10,Q07837
6520,SLC3A2,210,P08195
6521,SLC4A1,25,P02730
6523,SLC5A1,43,P13866
6524,SLC5A2,13,P31639
6540,SLC6A13,3,Q9NSD5
6550,SLC9A3,4,P48764
6557,SLC12A1,49,Q13621
6559,SLC12A3,23,P55017
6565,SLC15A2,19,Q16348
6576,SLC25A1,39,P53007
6582,SLC22A2,7,O15244
6584,SLC22A5,24,O76082
6608,SMO,13,Q99835
6623,SNCG,27,O76070
6647,SOD1,85,P00441
6652,SORD,76,Q00796
6653,SORL1,38,Q92673
6683,SPAST,33,Q9UBP0
6697,SPR,63,P35270
6707,SPRR3,11,Q9UBC9
6714,SRC,113,P12931
6717,SRI,120,P30626
6794,STK11,3,Q15831
6809,STX3,54,Q13277
6812,STXBP1,65,P61764
6813,STXBP2,81,Q15833
6845,VAMP7,46,P51809
6856,SYPL1,75,Q16563
6906,SERPINA7,47,P05543
7007,TECTA,24,O75443
7047,TGM4,20,P49221
7049,TGFBR3,36,Q03167
7052,TGM2,92,P21980
7057,THBS1,159,P07996
7070,THY1,80,P04216
7086,TKT,143,P29401
7105,TSPAN6,70,O43657
7113,TMPRSS2,32,O15393
7251,TSG101,202,Q99816
7264,TSTA3,54,Q13630
7266,DNAJC7,46,Q99615
7273,TTN,95,Q8WZ42
7280,TUBB2A,115,Q13885
7295,TXN,151,P10599
7326,UBE2G1,20,P62253
7348,UPK1B,24,O75841
7369,UMOD,29,P07911
7379,UPK2,17,O00526
7380,UPK3A,14,O75631
7402,UTRN,67,P46939
7419,VDAC3,54,Q9Y277
7429,VIL1,54,P09327
7450,VWF,53,P04275
7512,XPNPEP2,27,O43895
