From	Entry
20102	P62702
20102	Q545F8
20102	Q545X8
20104	P62754
20104	Q5BLK1
20115	P62082
20115	Q4FZE6
20116	P62242
20116	Q497E9
22145	P68368
22154	P99024
26961	P62918
53869	P62492
53869	Q0PD45
54130	P61164
66713	P61161
66713	Q5SW83
66922	P62071
66922	Q9CTF6
69386	P62806
69386	B2RTM0
74012	P61226
74012	Q6ZWR0
97114	P84228
97114	B9EI85
97122	P62806
97122	B2RTM0
109905	P62835
109905	Q3U7U8
109905	Q3V3W9
227613	P68372
260423	P84228
260423	B9EI85
267019	P62245
267019	Q5M9M4
319148	P84228
319148	B9EI85
319149	P84228
319149	B9EI85
319150	P84228
319150	B9EI85
319151	P84228
319151	B9EI85
319154	P84228
319154	B9EI85
319155	P62806
319155	B2RTM0
319156	P62806
319156	B2RTM0
319157	P62806
319157	B2RTM0
319158	P62806
319158	B2RTM0
319159	P62806
319159	B2RTM0
319160	P62806
319160	B2RTM0
319161	P62806
319161	B2RTM0
319192	Q6GSS7
319192	B2RWH3
320332	P62806
320332	B2RTM0
326619	P62806
326619	B2RTM0
326620	P62806
326620	B2RTM0
100041230	P62806
100041230	B2RTM0
26962	P62919
28298	P62912
29214	P69897
29258	P62083
29258	B5DEL9
29275	P68035
29304	P62755
64306	P61354
64310	P84079
64627	P62804
65136	P62243
65136	B2RYR8
79117	P84083
79121	P62332
81504	P62994
81633	P62738
81633	B0BMT0
81767	P84100
81776	P62850
81830	P62494
83427	P63245
84509	P62828
94197	P61107
94197	B0BMW0
94197	F7F4P0
117053	P62246
117056	P84245
117056	B0BMY8
117282	P61980
117282	F8WG62
117282	Q5D059
161477	P62278
170923	P61227
245981	P61314
287876	P63259
291152	P62804
295277	P62804
295347	P62836
367254	A0A0G2K5X7
684988	P62278
403791	P61162
403912	P62872
403943	P63091
403957	P62490
280979	P60712
281201	P62871
281597	P61157
282031	P62833
282220	P68103
287022	P63103
327682	P63243
327708	P61223
338049	P61585
338058	P84080
404122	P63258
614958	Q32L48
100158117	P62802
100158117	A0A480TD90
397605	P63246
1	P04217
1	V9HWD8
12	P01011
12	A0A024R6P0
48	P21399
48	Q9HBB2
48	V9HWB7
52	P24666
52	A0A140VK37
52	Q59EH3
53	P11117
53	B7Z4Z2
53	B7Z552
53	B7Z6L8
53	B7Z6T8
53	B7Z7D2
53	B7Z8T9
53	E9PHY0
53	E9PQY3
55	P15309
95	Q03154
95	V9HWA0
107	Q08828
107	C9J1J0
128	P11766
128	Q6IRT1
130	P28332
130	Q8IUN7
143	Q9UKK3
197	P02765
203	P00568
203	Q5T9B7
203	Q6FGX9
210	P13716
210	A0A024R877
210	A0A140VJL9
210	B7Z3I9
210	Q6ZMU0
214	Q13740
214	B3KNN9
216	P00352
216	V9HW83
217	P05091
217	A0A384NPN7
221	P43353
221	A0A024R5D8
221	A0A024R5K0
221	A0A087X2D4
223	P49189
230	P09972
230	A0A024QZ64
231	P15121
231	A0A024R7A8
238	Q9UM73
238	B6D4Y2
239	P18054
249	P05186
249	A0A024RAB4
259	P02760
290	P15144
290	A0A024RC61
290	Q59E93
301	P04083
301	Q5TZZ9
306	P12429
310	P20073
310	B2R657
312	P27216
312	Q53FB5
316	Q06278
317	O14727
325	P02743
325	V9HWP0
335	P02647
335	A0A024R3E3
336	P02652
337	P06727
347	P05090
348	P02649
348	A0A0S2Z3D5
357	Q13796
357	B7Z682
357	F5H3B6
357	Q68DU3
358	P29972
358	A0A024RA31
359	P41181
388	P62745
391	P84095
391	Q6ICQ8
392	Q07960
403	P36405
415	P51690
415	A0A5F9ZHX8
415	A0A804HJF6
415	A1L484
415	B7Z1M0
415	B7Z6V4
415	F5GYY5
415	F5H324
416	P54793
427	Q13510
427	A8K0B6
427	Q53H01
435	P04424
435	A0A024RDL8
435	A0A0S2Z316
439	O43681
445	P00966
445	Q5T6L4
481	P05026
481	A3KLL5
486	P54710
525	P15313
526	P21281
526	A0A140VK65
527	P27449
528	P21283
528	A0A024R9I0
529	P36543
529	Q53Y06
535	Q93050
535	Q53ET5
535	Q53X12
535	Q5CZH6
537	Q15904
537	A0A0C4DGX8
537	A0A384MQW4
566	P20160
567	P61769
613	P11274
633	P21810
633	B4DNL4
642	Q13867
644	P53004
644	A0A140VJF4
645	P30043
645	V9HWI1
671	P17213
684	Q10589
684	A0A024R7H5
706	P30536
706	O76068
710	P05155
710	E9KL26
726	O15484
726	A0A140VKH4
727	P01031
727	Q59GS8
735	P02748
754	P53801
754	B4DPZ0
760	P00918
760	V9HW21
762	P22748
781	P54289
781	E7ERK3
781	Q9UIU0
793	P05937
810	P27482
814	Q16566
820	P49913
820	A0A384NPR0
820	J3KNB4
830	P47755
830	A4D0V4
873	P16152
873	A0A384NL53
928	P21926
928	A6NNI4
928	B4DK09
929	P08571
950	Q14108
950	A0A024RDG6
966	P13987
966	Q6FHM9
967	P08962
967	A0A024RB05
975	P60033
975	A0A024RCB7
975	E9PJK1
983	P06493
983	A0A024QZJ8
983	B7Z3D6
983	I6L9I5
998	P60953
998	A0A024RAA5
998	A0A024RAE6
1048	P06731
1048	A0A024R0K5
1048	Q53G30
1071	P11597
1071	A0A0S2Z3F6
1071	A0A0S2Z3I8
1071	B4DMZ5
1075	P53634
1152	P12277
1152	G3V4N7
1152	V9HWH2
1173	Q96CW1
1173	B4DNB9
1173	E9PFW3
1191	P10909
1200	O14773
1291	P12109
1291	A0A384P5H7
1293	P12111
1293	B7ZW00
1293	D9ZGF2
1293	Q63HQ4
1293	Q8N4Z1
1306	P39059
1306	B3KTP7
1312	P21964
1312	A0A140VJG8
1356	P00450
1356	A5PL27
1370	P22792
1378	P17927
1378	E9PDY4
1382	P29373
1398	P46108
1398	A0A0S2Z3K9
1398	A0A0S2Z3Q4
1398	L7RT18
1410	P02511
1410	A0A024R3B9
1410	V9HW27
1428	Q14894
1429	Q08257
1465	P21291
1465	A0A384P5K2
1465	B4DY28
1471	P01034
1471	A0A0K0K1J1
1476	P04080
1476	Q76LA1
1491	P32929
1497	O60931
1497	A0A0S2Z3I9
1497	A0A0S2Z3K3
1497	I3L4A9
1509	P07339
1509	V9HWI3
1511	P08311
1636	P12821
1636	B4DKH4
1642	Q16531
1644	P20711
1644	A0A087WV24
1644	A0A0S2Z3N4
1644	Q53Y41
1652	P30046
1652	Q53Y51
1654	O00571
1654	A0A2R8Y7T2
1654	A0A2R8YFS5
1655	P17844
1655	J3KTA4
1675	P00746
1675	A6XNE2
1675	K7ERG9
1769	Q96JB1
1769	A0A075B6F3
1769	Q8IU65
1800	P16444
1800	A0A140VJI3
1803	P27487
1807	Q14117
1824	Q02487
1824	A0A3B3ISU0
1830	P32926
1832	P15924
1832	B4DKX6
1832	Q4LE79
1889	P42892
1889	A0A024RAB0
1889	A0A024RAB2
1889	A1PUP8
1947	P98172
1950	P01133
1954	Q7Z7M0
1991	P08246
2028	Q07075
2040	P27105
2040	A0A024R882
2040	F8VSL7
2053	P34913
2059	Q12929
2059	B4E3T6
2091	P22087
2098	P10768
2098	A0A140VJJ2
2125	Q92817
2125	B7ZLH8
2125	K7EKI0
2160	P03951
2168	P07148
2168	Q05CP7
2168	Q6FGL7
2170	P05413
2170	A0A384MDY5
2182	O60488
2182	Q8TAF6
2184	P16930
2184	A0A384P5L6
2194	P49327
2195	Q14517
2202	Q12805
2202	A0A0S2Z3V1
2202	A0A0S2Z4F1
2202	B2R6M6
2203	P09467
2203	Q2TU34
2220	Q15485
2243	P02671
2266	P02679
2266	A0A140VJJ6
2289	Q13451
2289	Q2TA84
2335	P02751
2335	B7ZLE5
2335	Q6MZF4
2335	Q6MZM7
2335	Q6N084
2335	Q9UQS6
2444	P42685
2512	P02792
2512	A0A384MDR3
2517	P04066
2517	B5MDC5
2548	P10253
2561	P47870
2584	P51570
2584	V9HWE7
2632	Q04446
2632	Q59ET0
2658	Q9UK05
2658	B2RC63
2674	P56159
2674	B7Z856
2683	P15291
2712	Q14410
2712	A0A140VKG0
2720	P16278
2720	B7Z6Q5
2734	Q92896
2752	P15104
2752	A8YXX4
2760	P17900
2767	P29992
2770	P63096
2776	P50148
2776	A0A024R240
2787	P63218
2788	O60262
2805	P17174
2805	A0A140VK69
2810	P31947
2819	P21695
2819	A0A024R138
2823	P51674
2875	P24298
2879	P36969
2879	Q6PI42
2894	Q9ULK0
2894	A8KAN9
2934	P06396
2934	A0A0A0MS51
2934	A0A0A0MT01
2934	A0A384MEF1
2934	B7Z4U6
2937	P48637
2937	V9HWJ1
2938	P08263
2938	A0A140VJK4
2938	B7Z1F9
2946	P28161
2946	A0A384P5E9
2946	Q0D2I8
2990	P08236
3043	P68871
3043	D9YZU5
3075	P08603
3075	A0A024R962
3075	A0A0D9SG88
3081	Q93099
3081	B3KW64
3094	P49773
3094	A0A384NPU2
3176	P50135
3176	B4DWC1
3191	P14866
3191	Q6NTA2
3242	P32754
3248	P15428
3273	P04196
3301	P31689
3301	B7Z5C0
3306	P54652
3306	A0A024R6B5
3309	P11021
3309	V9HWB4
3315	P04792
3315	V9HW43
3337	P25685
3337	Q6FHS4
3339	P98160
3383	P05362
3383	A0A384MEK5
3417	O75874
3417	A0A024R3Y6
3426	P05156
3426	A8K3L0
3426	B4DRF2
3426	G3XAM2
3426	Q8WW88
3483	P35858
3483	Q8TAY0
3557	P18510
3557	A0A024R528
