ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
3700,Q14624,ITIH4,14,Microparticles
3728,P14923,JUP,20,Microvesicles
3827,P01042,KNG1,9,Microparticles
3911,O15230,LAMA5,4,Microparticles
3915,P11047,LAMC1,13,Microparticles
3916,P11279,LAMP1,27,Microparticles
3920,P13473,LAMP2,19,Microparticles
3929,P18428,LBP,8,Microvesicles
3934,P80188,LCN2,4,Microparticles
3958,P17931,LGALS3,15,Microvesicles
3959,Q08380,LGALS3BP,13,Microparticles
4059,P50895,BCAM,7,Microvesicles
4069,P61626,LYZ,18,Microparticles
4072,P16422,EPCAM,4,Microvesicles
4082,P29966,MARCKS,15,Microvesicles
4121,P33908,MAN1A1,2,Microparticles
4124,Q16706,MAN2A1,2,Microvesicles
4240,Q08431,MFGE8,25,Microvesicles
4241,P08582,MFI2,7,Microvesicles
4282,P14174,MIF,21,Microparticles
4301,P55196,MLLT4,9,Microvesicles
4311,P08473,MME,18,Microparticles
4332,P41218,MNDA,5,Microparticles
4353,P05164,MPO,13,Microparticles
4357,P25325,MPST,10,Microparticles
4430,O43795,MYO1B,17,Microvesicles
4507,Q13126,MTAP,4,Microvesicles
4582,P15941,MUC1,6,Microvesicles
4641,O00159,MYO1C,22,Microvesicles
4642,O94832,MYO1D,8,Microvesicles
4645,Q9ULV0,MYO5B,2,Microvesicles
4646,Q9UM54,MYO6,6,Microparticles
4669,P54802,NAGLU,3,Microvesicles
4677,O43776,NARS,12,Microvesicles
4703,P20929,NEB,2,Microvesicles
4811,P14543,NID1,11,Microparticles
4835,P16083,NQO2,2,Microparticles
4864,O15118,NPC1,6,Microparticles
4907,P21589,NT5E,17,Microvesicles
5025,Q99571,P2RX4,1,Microvesicles
5048,P43034,PAFAH1B1,10,Microparticles
5049,P68402,PAFAH1B2,16,Microparticles
5092,P61457,PCBD1,5,Microvesicles
5093,Q15365,PCBP1,23,Microparticles
5104,P05154,SERPINA5,1,Microparticles
5119,Q9HD42,CHMP1A,2,Microparticles
5176,P36955,SERPINF1,8,Microparticles
5184,P12955,PEPD,4,Microvesicles
5217,P35080,PFN2,3,Microvesicles
5226,P52209,PGD,28,Microvesicles
5236,P36871,PGM1,19,Microvesicles
5243,P08183,ABCB1,1,Microparticles
5250,Q00325,SLC25A3,12,Microparticles
5265,P01009,SERPINA1,30,Microvesicles
5267,P29622,SERPINA4,1,Microparticles
5269,P35237,SERPINB6,22,Microvesicles
5284,P01833,PIGR,8,Microparticles
5286,O00443,PIK3C2A,1,Microvesicles
5304,P12273,PIP,4,Microparticles
5313,P30613,PKLR,7,Microvesicles
5333,P51178,PLCD1,7,Microvesicles
5351,Q02809,PLOD1,11,Microvesicles
5357,Q14651,PLS1,14,Microvesicles
5359,O15162,PLSCR1,5,Microvesicles
5420,O00592,PODXL,11,Microvesicles
5476,P10619,CTSA,4,Microparticles
5479,P23284,PPIB,31,Microparticles
5493,O60437,PPL,3,Microvesicles
5510,Q15435,PPP1R7,4,Microvesicles
5547,P42785,PRCP,4,Microparticles
5576,P13861,PRKAR2A,19,Microvesicles
5578,P17252,PRKCA,16,Microvesicles
5580,Q05655,PRKCD,12,Microvesicles
5584,P41743,PRKCI,2,Microvesicles
5621,F7VJQ1,PRNP,1,Microvesicles
5621,P04156,PRNP,1,Microvesicles
5652,Q16651,PRSS8,4,Microvesicles
5657,P24158,PRTN3,3,Microparticles
5660,P07602,PSAP,8,Microparticles
5682,P25786,PSMA1,16,Microparticles
5684,P25788,PSMA3,22,Microparticles
5686,P28066,PSMA5,19,Microvesicles
5691,P49720,PSMB3,20,Microparticles
5693,P28074,PSMB5,7,Microparticles
5705,P62195,PSMC5,16,Microparticles
5706,P62333,PSMC6,20,Microparticles
5709,O43242,PSMD3,17,Microvesicles
5718,O00232,PSMD12,11,Microparticles
5800,Q16827,PTPRO,4,Microvesicles
5860,P09417,QDPR,9,Microvesicles
5865,P20337,RAB3B,4,Microvesicles
5872,P51153,RAB13,20,Microvesicles
5873,P51159,RAB27A,10,Microvesicles
5910,P52306,RAP1GDS1,12,Microvesicles
5917,P54136,RARS,16,Microvesicles
5934,Q08999,RBL2,3,Microparticles
5950,P02753,RBP4,4,Microparticles
5962,P35241,RDX,16,Microvesicles
5973,P51606,RENBP,1,Microvesicles
6009,Q15382,RHEB,7,Microvesicles
6092,Q9HCK4,ROBO2,1,Microparticles
6102,O75695,RP2,23,Microvesicles
6205,P62280,RPS11,10,Microparticles
6222,P62269,RPS18,21,Microvesicles
6237,P10301,RRAS,20,Microvesicles
6275,P26447,S100A4,11,Microvesicles
6277,P06703,S100A6,12,Microvesicles
6279,P05109,S100A8,16,Microvesicles
6280,P06702,S100A9,11,Microvesicles
6281,P60903,S100A10,16,Microvesicles
6286,P25815,S100P,3,Microvesicles
6317,P29508,SERPINB3,1,Microvesicles
6318,P48594,SERPINB4,1,Microvesicles
6336,Q9Y5Y9,SCN10A,8,Microparticles
6386,O00560,SDCBP,28,Microvesicles
6396,P55735,SEC13,6,Microvesicles
6451,O75368,SH3BGRL,16,Microvesicles
6470,P34896,SHMT1,3,Microparticles
6505,P43005,SLC1A1,2,Microvesicles
6518,P22732,SLC2A5,6,Microparticles
6520,P08195,SLC3A2,31,Microvesicles
6521,P02730,SLC4A1,13,Microparticles
6524,P31639,SLC5A2,2,Microparticles
6557,Q13621,SLC12A1,4,Microparticles
6559,P55017,SLC12A3,2,Microparticles
6576,P53007,SLC25A1,9,Microparticles
6647,P00441,SOD1,15,Microvesicles
6652,Q00796,SORD,4,Microvesicles
6653,Q92673,SORL1,4,Microvesicles
6697,P35270,SPR,7,Microparticles
6707,Q9UBC9,SPRR3,2,Microparticles
6714,P12931,SRC,16,Microparticles
6717,P30626,SRI,12,Microparticles
6809,Q13277,STX3,4,Microvesicles
6812,P61764,STXBP1,9,Microvesicles
6813,Q15833,STXBP2,17,Microvesicles
6845,P51809,VAMP7,7,Microparticles
6856,Q16563,SYPL1,8,Microparticles
6906,P05543,SERPINA7,3,Microparticles
7047,P49221,TGM4,1,Microparticles
7052,P21980,TGM2,15,Microvesicles
7057,P07996,THBS1,23,Microparticles
7070,P04216,THY1,8,Microvesicles
7086,P29401,TKT,17,Microparticles
7105,O43657,TSPAN6,2,Microvesicles
7113,O15393,TMPRSS2,2,Microparticles
7251,Q99816,TSG101,12,Microvesicles
7264,Q13630,TSTA3,4,Microvesicles
7266,Q99615,DNAJC7,13,Microvesicles
7273,Q8WZ42,TTN,13,Microparticles
7280,Q13885,TUBB2A,13,Microvesicles
7295,P10599,TXN,29,Microvesicles
7348,O75841,UPK1B,2,Microvesicles
7369,P07911,UMOD,7,Microvesicles
7380,O75631,UPK3A,2,Microparticles
7402,P46939,UTRN,11,Microvesicles
7419,Q9Y277,VDAC3,21,Microparticles
7429,P09327,VIL1,10,Microvesicles
7450,P04275,VWF,14,Microparticles
7512,O43895,XPNPEP2,4,Microvesicles
7531,P62258,YWHAE,37,Microvesicles
7532,P61981,YWHAG,33,Microvesicles
7533,Q04917,YWHAH,25,Microvesicles
7841,Q13724,MOGS,10,Microparticles
8000,O43653,PSCA,2,Microparticles
8073,Q12974,PTP4A2,2,Microvesicles
8291,O75923,DYSF,8,Microparticles
8407,P37802,TAGLN2,40,Microvesicles
8411,Q15075,EEA1,12,Microvesicles
8428,Q9Y6E0,STK24,13,Microparticles
8450,Q13620,CUL4B,7,Microparticles
8452,Q13618,CUL3,5,Microvesicles
8455,O75882,ATRN,2,Microparticles
8476,Q5VT25,CDC42BPA,3,Microvesicles
8566,O00764,PDXK,10,Microvesicles
8574,O43488,AKR7A2,7,Microparticles
8611,O14494,PPAP2A,2,Microparticles
8649,Q9UHA4,LAMTOR3,3,Microparticles
8673,Q9BV40,VAMP8,13,Microvesicles
8724,O60493,SNX3,11,Microparticles
