ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES
84836,Q96IU4,ABHD14B,71
85235,Q96KK5,HIST1H2AH,70
203068,P07437,TUBB,203
221823,P21108,PRPS1L1,13
388697,Q86YZ3,HRNR,63
399687,Q92614,MYO18A,51
653361,P14598,NCF1,18
728689,B5ME19,EIF3CL,24
1,P04217,A1BG,44
12,P01011,SERPINA3,73
48,P21399,ACO1,87
52,P24666,ACP1,75
53,P11117,ACP2,56
55,P15309,ACPP,53
95,Q03154,ACY1,52
107,Q08828,ADCY1,8
128,P11766,ADH5,71
130,P28332,ADH6,27
143,Q9UKK3,PARP4,62
197,P02765,AHSG,110
203,P00568,AK1,78
210,P13716,ALAD,60
214,Q13740,ALCAM,74
216,P00352,ALDH1A1,83
217,P05091,ALDH2,47
221,P43353,ALDH3B1,42
223,P49189,ALDH9A1,101
230,P09972,ALDOC,125
231,P15121,AKR1B1,99
238,Q9UM73,ALK,21
239,P18054,ALOX12,21
249,P05186,ALPL,33
259,P02760,AMBP,42
290,P15144,ANPEP,109
301,P04083,ANXA1,217
306,P12429,ANXA3,113
310,P20073,ANXA7,195
312,P27216,ANXA13,42
316,Q06278,AOX1,35
317,O14727,APAF1,6
325,P02743,APCS,49
335,P02647,APOA1,124
336,P02652,APOA2,35
337,P06727,APOA4,3
347,P05090,APOD,85
348,P02649,APOE,158
357,Q13796,SHROOM2,27
358,P29972,AQP1,26
359,P41181,AQP2,29
388,P62745,RHOB,72
391,P84095,RHOG,120
392,Q07960,ARHGAP1,62
403,P36405,ARL3,66
415,P51690,ARSE,2
416,P54793,ARSF,12
427,Q13510,ASAH1,60
435,P04424,ASL,47
439,O43681,ASNA1,54
445,P00966,ASS1,72
481,P05026,ATP1B1,124
486,P54710,FXYD2,27
525,P15313,ATP6V1B1,58
526,P21281,ATP6V1B2,111
527,P27449,ATP6V0C,37
528,P21283,ATP6V1C1,47
529,P36543,ATP6V1E1,100
535,Q93050,ATP6V0A1,66
537,Q15904,ATP6AP1,47
566,P20160,AZU1,31
567,P61769,B2M,123
613,P11274,BCR,31
633,P21810,BGN,41
642,Q13867,BLMH,58
644,P53004,BLVRA,68
645,P30043,BLVRB,81
671,P17213,BPI,26
684,Q10589,BST2,61
706,P30536,TSPO,34
710,P05155,SERPING1,44
726,O15484,CAPN5,64
727,P01031,C5,83
735,P02748,C9,87
754,P53801,PTTG1IP,42
760,P00918,CA2,72
762,P22748,CA4,21
781,P54289,CACNA2D1,77
793,P05937,CALB1,17
810,P27482,CALML3,38
814,Q16566,CAMK4,5
820,P49913,CAMP,23
830,P47755,CAPZA2,112
873,P16152,CBR1,122
928,P21926,CD9,272
929,P08571,CD14,69
950,Q14108,SCARB2,96
966,P13987,CD59,143
967,P08962,CD63,230
975,P60033,CD81,221
983,P06493,CDK1,82
998,P60953,CDC42,202
1048,P06731,CEACAM5,48
1071,P11597,CETP,12
1075,P53634,CTSC,56
1152,P12277,CKB,96
1173,Q96CW1,AP2M1,93
1191,P10909,CLU,173
1200,O14773,TPP1,60
1291,P12109,COL6A1,103
1293,P12111,COL6A3,57
1306,P39059,COL15A1,40
1312,P21964,COMT,66
1356,P00450,CP,73
1370,P22792,CPN2,11
1378,P17927,CR1,23
1382,P29373,CRABP2,49
1398,P46108,CRK,49
1410,P02511,CRYAB,43
1428,Q14894,CRYM,28
1429,Q08257,CRYZ,72
1465,P21291,CSRP1,72
1471,P01034,CST3,47
1476,P04080,CSTB,94
1491,P32929,CTH,32
1497,O60931,CTNS,2
1509,P07339,CTSD,117
1511,P08311,CTSG,50
1636,P12821,ACE,98
1642,Q16531,DDB1,80
1644,P20711,DDC,8
1652,P30046,DDT,64
1654,O00571,DDX3X,101
1655,P17844,DDX5,62
1675,P00746,CFD,26
1769,Q96JB1,DNAH8,13
1800,P16444,DPEP1,66
1803,P27487,DPP4,102
1807,Q14117,DPYS,10
1824,Q02487,DSC2,35
1830,P32926,DSG3,9
1832,P15924,DSP,109
1889,P42892,ECE1,48
1947,P98172,EFNB1,43
1950,P01133,EGF,22
1954,Q7Z7M0,MEGF8,13
1991,P08246,ELANE,31
2028,Q07075,ENPEP,32
2040,P27105,STOM,170
2053,P34913,EPHX2,24
2059,Q12929,EPS8,70
2091,P22087,FBL,42
2098,P10768,ESD,89
2125,Q92817,EVPL,44
2160,P03951,F11,3
2168,P07148,FABP1,15
2170,P05413,FABP3,53
2182,O60488,ACSL4,82
2184,P16930,FAH,55
2194,P49327,FASN,210
2195,Q14517,FAT1,55
2202,Q12805,EFEMP1,36
2203,P09467,FBP1,51
2220,Q15485,FCN2,15
2243,P02671,FGA,107
2266,P02679,FGG,89
2289,Q13451,FKBP5,32
2335,P02751,FN1,201
2444,P42685,FRK,49
2512,P02792,FTL,76
