ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,UNIPROT ID
55144,LRRC8D,25,Exosomes,Q7L1W4
55273,TMEM100,23,Exosomes,Q9NV29
55280,CWF19L1,2,Exosomes,Q69YN2
55299,BRIX1,21,Exosomes,Q8TDN6
55334,SLC39A9,3,Exosomes,Q9NUM3
55339,WDR33,5,Exosomes,Q9C0J8
55362,TMEM63B,19,Exosomes,Q5T3F8
55366,LGR4,25,Exosomes,Q9BXB1
55644,OSGEP,25,Exosomes,Q9NPF4
55681,SCYL2,17,Exosomes,Q6P3W7
55692,LUC7L,5,Exosomes,Q9NQ29
55697,VAC14,28,Exosomes,Q08AM6
55789,DEPDC1B,2,Exosomes,Q8WUY9
55830,GLT8D1,38,Exosomes,Q68CQ7
55860,ACTR10,27,Exosomes,Q9NZ32
56649,TMPRSS4,24,Exosomes,Q9NRS4
56889,TM9SF3,28,Exosomes,Q9HD45
56984,PSMG2,32,Exosomes,Q969U7
57085,AGTRAP,25,Exosomes,Q6RW13
57192,MCOLN1,3,Exosomes,Q9GZU1
57213,SPRYD7,24,Exosomes,Q5W111
57418,WDR18,26,Exosomes,Q9BV38
57468,SLC12A5,9,Exosomes,Q9H2X9
57537,SORCS2,5,Exosomes,Q96PQ0
57552,NCEH1,38,Exosomes,Q6PIU2
57565,KLHL14,3,Exosomes,Q9P2G3
57669,EPB41L5,41,Exosomes,Q9HCM4
60626,RIC8A,40,Exosomes,Q9NPQ8
60678,EEFSEC,3,Exosomes,P57772
63893,UBE2O,37,Exosomes,Q9C0C9
63971,KIF13A,29,Exosomes,Q9H1H9
64121,RRAGC,30,Exosomes,Q9HB90
64710,NUCKS1,3,Exosomes,Q9H1E3
64746,ACBD3,37,Exosomes,Q9H3P7
65010,SLC26A6,27,Exosomes,Q9BXS9
78992,YIPF2,2,Exosomes,Q9BWQ6
79077,DCTPP1,22,Exosomes,Q9H773
79811,SLTM,19,Exosomes,Q9NWH9
80115,BAIAP2L2,3,Exosomes,Q6UXY1
80131,LRRC8E,30,Exosomes,Q6NSJ5
80155,NAA15,52,Exosomes,Q9BXJ9
80335,WDR82,26,Exosomes,Q6UXN9
80895,ILKAP,25,Exosomes,Q9H0C8
81544,GDPD5,22,Exosomes,Q8WTR4
83666,PARP9,26,Exosomes,Q8IXQ6
83959,SLC4A11,23,Exosomes,Q8NBS3
84216,TMEM117,3,Exosomes,Q9H0C3
84243,ZDHHC18,4,Exosomes,Q9NUE0
84306,PDCD2L,22,Exosomes,Q9BRP1
84317,CCDC115,2,Exosomes,Q96NT0
84823,LMNB2,26,Exosomes,Q03252
84910,TMEM87B,5,Exosomes,Q96K49
84961,FBXL20,8,Exosomes,Q96IG2
85415,RHPN2,26,Exosomes,Q8IUC4
85439,STON2,9,Exosomes,Q8WXE9
85461,TANC1,24,Exosomes,Q9C0D5
90522,YIF1B,19,Exosomes,Q5BJH7
92092,ZC3HAV1L,6,Exosomes,Q96H79
92521,SPECC1,4,Exosomes,Q5M775
112858,TP53RK,23,Exosomes,Q96S44
113178,SCAMP4,35,Exosomes,Q969E2
115290,FBXO17,2,Exosomes,Q96EF6
117247,SLC16A10,23,Exosomes,Q8TF71
143098,MPP7,40,Exosomes,Q5T2T1
151636,DTX3L,15,Exosomes,Q8TDB6
154091,SLC2A12,24,Exosomes,Q8TD20
169714,QSOX2,22,Exosomes,Q6ZRP7
170506,DHX36,37,Exosomes,Q9H2U1
206412,C6orf163,2,Exosomes,Q5TEZ5
219988,PATL1,19,Exosomes,Q86TB9
253260,RICTOR,26,Exosomes,Q6R327
283209,PGM2L1,25,Exosomes,Q6PCE3
283219,KCTD21,4,Exosomes,Q4G0X4
284069,FAM171A2,5,Exosomes,A8MVW0
285848,PNPLA1,2,Exosomes,Q8N8W4
286451,YIPF6,32,Exosomes,Q96EC8
348995,NUP43,20,Exosomes,Q8NFH3
387914,SHISA2,22,Exosomes,Q6UWI4
768211,RELL1,19,Exosomes,Q8IUW5
1534,CYB561,7,Exosomes/Nanovesicles,P49447
2074,ERCC6,3,Exosomes/Nanovesicles,Q03468
10266,RAMP2,2,Exosomes/Nanovesicles,O60895
27121,DKK4,4,Exosomes/Nanovesicles,Q9UBT3
51078,THAP4,3,Exosomes/Nanovesicles,Q8WY91
63827,BCAN,2,Exosomes/Nanovesicles,Q96GW7
79739,TTLL7,5,Exosomes/Nanovesicles,Q6ZT98
80184,CEP290,9,Exosomes/Nanovesicles,O15078
84733,CBX2,2,Exosomes/Nanovesicles,Q14781
93109,TMEM44,3,Exosomes/Nanovesicles,Q2T9K0
148022,TICAM1,2,Exosomes/Nanovesicles,Q8IUC6
339487,ZBTB8OS,22,Exosomes/Nanovesicles,Q8IWT0
1158,CKM,25,Exosomes/Microvesicles/Oncosomes/Microparticles,P06732
1371,CPOX,26,Exosomes/Microvesicles/Oncosomes/Microparticles,P36551
2122,MECOM,7,Exosomes/Microvesicles/Oncosomes/Microparticles,Q03112
2709,GJB5,4,Exosomes/Microvesicles/Oncosomes/Microparticles,O95377
3004,GZMM,6,Exosomes/Microvesicles/Oncosomes/Microparticles,P51124
3778,KCNMA1,12,Exosomes/Microvesicles/Oncosomes/Microparticles,Q12791
3798,KIF5A,20,Exosomes/Microvesicles/Oncosomes/Microparticles,Q12840
4109,MAGEA10,18,Exosomes/Microvesicles/Oncosomes/Microparticles,P43363
4224,MEP1A,9,Exosomes/Microvesicles/Oncosomes/Microparticles,Q16819
4528,MTIF2,5,Exosomes/Microvesicles/Oncosomes/Microparticles,P46199
4839,NOP2,45,Exosomes/Microvesicles/Oncosomes/Microparticles,P46087
4940,OAS3,34,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9Y6K5
5089,PBX2,4,Exosomes/Microvesicles/Oncosomes/Microparticles,P40425
5335,PLCG1,31,Exosomes/Microvesicles/Oncosomes/Microparticles,P19174
5822,PWP2,6,Exosomes/Microvesicles/Oncosomes/Microparticles,Q15269
6241,RRM2,31,Exosomes/Microvesicles/Oncosomes/Microparticles,P31350
6627,SNRPA1,27,Exosomes/Microvesicles/Oncosomes/Microparticles,P09661
6637,SNRPG,31,Exosomes/Microvesicles/Oncosomes/Microparticles,P62308
8867,SYNJ1,15,Exosomes/Microvesicles/Oncosomes/Microparticles,O43426
9064,MAP3K6,23,Exosomes/Microvesicles/Oncosomes/Microparticles,O95382
9183,ZW10,32,Exosomes/Microvesicles/Oncosomes/Microparticles,O43264
9410,SNRNP40,21,Exosomes/Microvesicles/Oncosomes/Microparticles,Q96DI7
