ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
731688,RPL21P120,1,Microparticles
100127893,RPL7P24,3,Microparticles
100128060,RPS7P10,2,Microparticles
100128766,RPL8P2,1,Microparticles
100129141,RPL21P37,1,Microparticles
100129237,NPM1P21,1,Microparticles
100129243,RPS15AP12,2,Microparticles
100129424,RPL19P12,2,Microparticles
100129553,RPL13AP16,3,Microparticles
100129657,RPL17P18,2,Microparticles
100129685,RPL21P125,1,Microparticles
100129808,RPL24P6,2,Microparticles
100130562,RPS2P5,2,Microparticles
100130624,RPL15P22,2,Microparticles
100130892,RPL7P32,3,Microparticles
100131205,RPL21P28,1,Microparticles
100131526,RPL26P6,2,Microparticles
100131609,HNRNPA1P2,1,Microparticles
100131672,RPL21P87,1,Microparticles
100132547,RPL26P33,2,Microparticles
100132742,RPL17P7,2,Microparticles
100133211,LOC100133211,1,Microparticles
100133273,RPL21P80,1,Microparticles
11465,Actg1,3,Microparticles
11475,Acta2,2,Microparticles
11840,Arf1,3,Microparticles
11844,Arf5,2,Microparticles
11845,Arf6,3,Microparticles
14688,Gnb1,3,Microparticles
14694,Gnb2l1,3,Microparticles
15077,Hist2h3c1,1,Microparticles
15078,H3f3a,1,Microparticles
15081,H3f3b,1,Microparticles
15267,Hist2h2aa1,1,Microparticles
15387,Hnrnpk,1,Microparticles
19324,Rab1,3,Microparticles
19325,Rab10,2,Microparticles
19344,Rab5b,1,Microparticles
19384,Ran,3,Microparticles
19428,Rasl2-9,3,Microparticles
19921,Rpl19,2,Microparticles
19941,Rpl26,2,Microparticles
19951,Rpl32,1,Microparticles
20088,Rps24,2,Microparticles
20102,Rps4x,3,Microparticles
20104,Rps6,2,Microparticles
20115,Rps7,2,Microparticles
20116,Rps8,3,Microparticles
22145,Tuba4a,1,Microparticles
22154,Tubb5,3,Microparticles
26961,Rpl8,1,Microparticles
53869,Rab11a,3,Microparticles
54130,Actr1a,2,Microparticles
66713,Actr2,2,Microparticles
66922,Rras2,1,Microparticles
69386,Hist1h4h,3,Microparticles
74012,Rap2b,2,Microparticles
97114,Hist2h3c2,1,Microparticles
97122,Hist2h4,3,Microparticles
109905,Rap1a,3,Microparticles
208428,Rpl19-ps12,2,Microparticles
209589,Gm4761,2,Microparticles
216036,Gm4796,2,Microparticles
225058,Gm4832,2,Microparticles
225134,Gm4833,3,Microparticles
227613,Tubb4b,3,Microparticles
229746,Gm4859,3,Microparticles
238836,Gm4938,1,Microparticles
260423,Hist1h3f,1,Microparticles
267019,Rps15a,2,Microparticles
270148,Gm5055,2,Microparticles
319148,Hist1h3c,1,Microparticles
319149,Hist1h3d,1,Microparticles
319150,Hist1h3b,1,Microparticles
319151,Hist1h3e,1,Microparticles
319154,Hist2h3b,1,Microparticles
319155,Hist1h4c,3,Microparticles
319156,Hist1h4d,3,Microparticles
319157,Hist1h4f,3,Microparticles
319158,Hist1h4i,3,Microparticles
319159,Hist1h4j,3,Microparticles
319160,Hist1h4k,3,Microparticles
319161,Hist1h4n,3,Microparticles
319192,Hist2h2aa2,1,Microparticles
320332,Hist4h4,3,Microparticles
326619,Hist1h4a,3,Microparticles
326620,Hist1h4b,3,Microparticles
382844,Rpl19-ps4,2,Microparticles
383815,Rps24-ps2,2,Microparticles
433464,Gm13991,1,Microparticles
433515,Gm14323,3,Microparticles
434404,Rps6-ps3,2,Microparticles
434460,Rps15a-ps2,2,Microparticles
435556,Gm5687,3,Microparticles
544973,Gm10257,1,Microparticles
545267,Gm5823,3,Microparticles
545429,Gm13680,3,Microparticles
545640,Gm14138,2,Microparticles
547267,Gm6030,2,Microparticles
620119,Gm6128,1,Microparticles
620143,Gm6132,1,Microparticles
620848,Gm6186,1,Microparticles
621001,Rpl19-ps6,2,Microparticles
621269,Actg-ps1,3,Microparticles
621442,Gm14414,3,Microparticles
621697,Gm6251,1,Microparticles
621699,Gm6252,2,Microparticles
622962,Gm6375,3,Microparticles
623365,Gm6421,1,Microparticles
624124,Gm6472,2,Microparticles
624159,Gm6476,2,Microparticles
624251,Gm6485,1,Microparticles
624684,Gm6520,1,Microparticles
625328,H3f3c,1,Microparticles
626150,Gm12271,1,Microparticles
627244,Gm12003,3,Microparticles
627371,Gm6749,1,Microparticles
627971,Gm6817,1,Microparticles
628030,Gm6828,2,Microparticles
629116,Rps24-ps3,2,Microparticles
629448,Gm6975,2,Microparticles
629573,Gm6983,3,Microparticles
629732,Rps8-ps1,3,Microparticles
631400,Gm12950,1,Microparticles
633031,Gm7100,1,Microparticles
633219,LOC633219,3,Microparticles
636517,Gm7179,1,Microparticles
636952,Gm7194,1,Microparticles
638008,Gm7227,1,Microparticles
638636,Gm7246,3,Microparticles
639162,Rps15a-ps1,2,Microparticles
640204,LOC640204,3,Microparticles
664812,Gm7351,2,Microparticles
664841,Gm7363,2,Microparticles
664903,Rps15a-ps4,2,Microparticles
664911,Gm11878,2,Microparticles
664977,Gm7434,1,Microparticles
665027,Gm7453,3,Microparticles
665126,Gm7505,3,Microparticles
665279,Gm7565,3,Microparticles
665373,Gm7606,2,Microparticles
665813,Rpl19-ps7,2,Microparticles
665829,Tubb4b-ps2,3,Microparticles
666033,Gm7900,1,Microparticles
666170,Gm7964,1,Microparticles
666295,Gm8029,1,Microparticles
666421,Gm8095,1,Microparticles
666577,Gm8172,2,Microparticles
666676,Gm8230,3,Microparticles
666677,Gm8231,3,Microparticles
666717,Gm8253,2,Microparticles
666793,Gm8292,2,Microparticles
666979,Gm8399,3,Microparticles
667250,Gm12657,1,Microparticles
667260,Gm8543,3,Microparticles
667459,Gm8643,3,Microparticles
667518,Gm8680,1,Microparticles
667617,Gm8729,3,Microparticles
667717,Gm8779,2,Microparticles
667739,Rps6-ps4,2,Microparticles
667922,Gm11263,2,Microparticles
668015,Gm8925,2,Microparticles
668034,Rpl19-ps9,2,Microparticles
668041,Gm8942,2,Microparticles
668164,Gm9014,1,Microparticles
668472,Rpl19-ps10,2,Microparticles
668485,Gm9197,2,Microparticles
668724,Gm9320,2,Microparticles
668838,Gm9392,3,Microparticles
670915,Gm9511,1,Microparticles
674228,Gm9616,3,Microparticles
675377,LOC675377,1,Microparticles
676058,Gm9663,1,Microparticles
677027,Rps15a-ps3,2,Microparticles
677113,LOC677113,2,Microparticles
677448,Gm16385,3,Microparticles
100034726,Gm15772,2,Microparticles
100038964,Gm1986,1,Microparticles
100039036,Rps8-ps2,3,Microparticles
100039203,Gm2099,1,Microparticles
100039383,Gm2198,1,Microparticles
