ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
10539,GLRX3,3,Microparticles,O76003
10574,CCT7,18,Microparticles,Q99832
10575,CCT4,15,Microparticles,P50991
10576,CCT2,24,Microparticles,P78371
10672,GNA13,20,Microparticles,Q14344
10694,CCT8,22,Microparticles,P50990
10890,RAB10,28,Microparticles,P61026
10971,YWHAQ,25,Microparticles,P27348
11021,RAB35,17,Microparticles,Q15286
11151,CORO1A,11,Microparticles,P31146
22800,RRAS2,8,Microparticles,P62070
22820,COPG1,15,Microparticles,Q9Y678
22931,RAB18,5,Microparticles,Q9NP72
22948,CCT5,18,Microparticles,P48643
23011,RAB21,7,Microparticles,Q9UL25
23157,SEPT6,4,Microparticles,Q14141
23317,DNAJC13,6,Microparticles,O75165
23406,COTL1,13,Microparticles,Q14019
23521,RPL13A,8,Microparticles,P40429
25873,RPL36,7,Microparticles,Q9Y3U8
25934,NIPSNAP3A,7,Microparticles,Q9UFN0
26140,TTLL3,10,Microparticles,Q9Y4R7
26578,OSTF1,5,Microparticles,Q92882
26958,COPG2,8,Microparticles,Q9UBF2
30845,EHD3,10,Microparticles,Q9NZN3
51035,UBXN1,4,Microparticles,Q04323
51552,RAB14,31,Microparticles,P61106
51762,RAB8B,16,Microparticles,Q92930
55577,NAGK,5,Microparticles,Q9UJ70
55619,DOCK10,6,Microparticles,Q96BY6
55737,VPS35,21,Microparticles,Q96QK1
55748,CNDP2,13,Microparticles,Q96KP4
56138,PCDHA11,1,Microparticles,Q9Y5I1
56616,DIABLO,3,Microparticles,Q9NR28
60412,EXOC4,4,Microparticles,Q96A65
79026,AHNAK,11,Microparticles,Q09666
79585,CORO7,7,Microparticles,P57737
81704,DOCK8,2,Microparticles,Q8NF50
81876,RAB1B,25,Microparticles,Q9H0U4
83706,FERMT3,22,Microparticles,Q86UX7
84790,TUBA1C,12,Microparticles,Q9BQE3
84836,ABHD14B,9,Microparticles,Q96IU4
85235,HIST1H2AH,8,Microparticles,Q96KK5
121504,HIST4H4,29,Microparticles,P62805
126961,HIST2H3C,6,Microparticles,Q71DI3
203068,TUBB,22,Microparticles,P07437
221823,PRPS1L1,5,Microparticles,P21108
333932,HIST2H3A,5,Microparticles,Q71DI3
388697,HRNR,3,Microparticles,Q86YZ3
399687,MYO18A,5,Microparticles,Q92614
554313,HIST2H4B,29,Microparticles,P62805
653361,NCF1,2,Microparticles,P14598
653604,HIST2H3D,6,Microparticles,Q71DI3
723790,HIST2H2AA4,5,Microparticles,Q6FI13
728689,EIF3CL,2,Microparticles,B5ME19
1,A1BG,9,Exosomes,P04217
12,SERPINA3,6,Exosomes,P01011
48,ACO1,12,Exosomes,P21399
52,ACP1,11,Exosomes,P24666
53,ACP2,6,Exosomes,P11117
55,ACPP,7,Exosomes,P15309
95,ACY1,5,Exosomes,Q03154
107,ADCY1,1,Exosomes,Q08828
128,ADH5,6,Exosomes,P11766
130,ADH6,1,Exosomes,P28332
143,PARP4,2,Exosomes,Q9UKK3
197,AHSG,7,Exosomes,P02765
203,AK1,13,Exosomes,P00568
210,ALAD,11,Exosomes,P13716
214,ALCAM,6,Exosomes,Q13740
216,ALDH1A1,14,Exosomes,P00352
217,ALDH2,7,Exosomes,P05091
221,ALDH3B1,11,Exosomes,P43353
223,ALDH9A1,11,Exosomes,P49189
230,ALDOC,9,Exosomes,P09972
231,AKR1B1,11,Exosomes,P15121
238,ALK,2,Exosomes,Q9UM73
239,ALOX12,3,Exosomes,P18054
249,ALPL,2,Exosomes,P05186
259,AMBP,5,Exosomes,P02760
290,ANPEP,12,Exosomes,P15144
301,ANXA1,33,Exosomes,P04083
306,ANXA3,13,Exosomes,P12429
310,ANXA7,25,Exosomes,P20073
312,ANXA13,4,Exosomes,P27216
316,AOX1,2,Exosomes,Q06278
317,APAF1,2,Exosomes,O14727
325,APCS,14,Exosomes,P02743
335,APOA1,16,Exosomes,P02647
336,APOA2,7,Exosomes,P02652
337,APOA4,1,Exosomes,P06727
347,APOD,13,Exosomes,P05090
348,APOE,23,Exosomes,P02649
357,SHROOM2,2,Exosomes,Q13796
358,AQP1,10,Exosomes,P29972
359,AQP2,8,Exosomes,P41181
388,RHOB,2,Exosomes,P62745
391,RHOG,11,Exosomes,P84095
392,ARHGAP1,10,Exosomes,Q07960
403,ARL3,5,Exosomes,P36405
415,ARSE,1,Exosomes,P51690
416,ARSF,4,Exosomes,P54793
427,ASAH1,6,Exosomes,Q13510
435,ASL,8,Exosomes,P04424
439,ASNA1,3,Exosomes,O43681
445,ASS1,4,Exosomes,P00966
481,ATP1B1,5,Exosomes,P05026
486,FXYD2,2,Exosomes,P54710
525,ATP6V1B1,11,Exosomes,P15313
526,ATP6V1B2,20,Exosomes,P21281
527,ATP6V0C,8,Exosomes,P27449
528,ATP6V1C1,6,Exosomes,P21283
529,ATP6V1E1,15,Exosomes,P36543
535,ATP6V0A1,15,Exosomes,Q93050
537,ATP6AP1,9,Exosomes,Q15904
566,AZU1,3,Exosomes,P20160
567,B2M,23,Exosomes,P61769
613,BCR,3,Exosomes,P11274
633,BGN,1,Exosomes,P21810
642,BLMH,10,Exosomes,Q13867
644,BLVRA,11,Exosomes,P53004
645,BLVRB,13,Exosomes,P30043
671,BPI,1,Exosomes,P17213
684,BST2,7,Exosomes,Q10589
706,TSPO,10,Exosomes,P30536
710,SERPING1,14,Exosomes,P05155
726,CAPN5,9,Exosomes,O15484
727,C5,2,Exosomes,P01031
735,C9,13,Exosomes,P02748
754,PTTG1IP,3,Exosomes,P53801
760,CA2,7,Exosomes,P00918
762,CA4,5,Exosomes,P22748
781,CACNA2D1,4,Exosomes,P54289
793,CALB1,4,Exosomes,P05937
810,CALML3,1,Exosomes,P27482
814,CAMK4,1,Exosomes,Q16566
820,CAMP,10,Exosomes,P49913
830,CAPZA2,11,Exosomes,P47755
873,CBR1,18,Exosomes,P16152
928,CD9,26,Exosomes,P21926
929,CD14,23,Exosomes,P08571
950,SCARB2,10,Exosomes,Q14108
966,CD59,20,Exosomes,P13987
967,CD63,39,Exosomes,P08962
975,CD81,33,Exosomes,P60033
983,CDK1,8,Exosomes,P06493
998,CDC42,30,Exosomes,P60953
1048,CEACAM5,5,Exosomes,P06731
1071,CETP,7,Exosomes,P11597
1075,CTSC,7,Exosomes,P53634
1152,CKB,10,Exosomes,P12277
1173,AP2M1,10,Exosomes,Q96CW1
1191,CLU,24,Exosomes,P10909
1200,TPP1,11,Exosomes,O14773
1291,COL6A1,5,Exosomes,P12109
1293,COL6A3,3,Exosomes,P12111
1306,COL15A1,3,Exosomes,P39059
1312,COMT,12,Exosomes,P21964
1356,CP,7,Exosomes,P00450
1370,CPN2,2,Exosomes,P22792
1378,CR1,3,Exosomes,P17927
1382,CRABP2,5,Exosomes,P29373
1398,CRK,3,Exosomes,P46108
1410,CRYAB,6,Exosomes,P02511
1428,CRYM,4,Exosomes,Q14894
1429,CRYZ,7,Exosomes,Q08257
1465,CSRP1,9,Exosomes,P21291
1471,CST3,6,Exosomes,P01034
1476,CSTB,7,Exosomes,P04080
1491,CTH,2,Exosomes,P32929
1497,CTNS,4,Exosomes,O60931
1509,CTSD,22,Exosomes,P07339
1511,CTSG,9,Exosomes,P08311
1636,ACE,13,Exosomes,P12821
