ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
8815,BANF1,30,Exosomes,O75531
8826,IQGAP1,41,Exosomes,P46940
8836,GGH,25,Exosomes,Q92820
8895,CPNE3,30,Exosomes,O75131
8904,CPNE1,26,Exosomes,Q99829
8968,HIST1H3F,10,Exosomes,P68431
8970,HIST1H2BJ,7,Exosomes,P06899
9045,RPL14,42,Exosomes,P50914
9144,SYNGR2,32,Exosomes,O43760
9214,FAIM3,1,Exosomes,O60667
9230,RAB11B,36,Exosomes,Q15907
9276,COPB2,25,Exosomes,P35606
9349,RPL23,35,Exosomes,P62829
9368,SLC9A3R1,32,Exosomes,O14745
9380,GRHPR,25,Exosomes,Q9UBQ7
9446,GSTO1,36,Exosomes,P78417
9520,NPEPPS,29,Exosomes,P55786
9555,H2AFY,34,Exosomes,O75367
9588,PRDX6,28,Exosomes,P30041
9775,EIF4A3,32,Exosomes,P38919
9805,SCRN1,26,Exosomes,Q12765
9938,ARHGAP25,1,Exosomes,P42331
9948,WDR1,40,Exosomes,O75083
9961,MVP,34,Exosomes,Q14764
9987,HNRPDL,30,Exosomes,O14979
10015,PDCD6IP,82,Exosomes,Q8WUM4
10054,UBA2,26,Exosomes,Q9UBT2
10092,ARPC5,22,Exosomes,O15511
10093,ARPC4,38,Exosomes,P59998
10094,ARPC3,25,Exosomes,O15145
10095,ARPC1B,29,Exosomes,O15143
10096,ACTR3,34,Exosomes,P61158
10097,ACTR2,30,Exosomes,P61160
10109,ARPC2,22,Exosomes,O15144
10159,ATP6AP2,20,Exosomes,O75787
10204,NUTF2,20,Exosomes,P61970
10211,FLOT1,53,Exosomes,O75955
10236,HNRNPR,21,Exosomes,O43390
10327,AKR1A1,21,Exosomes,P14550
10382,TUBB4A,32,Exosomes,P04350
10383,TUBB4B,50,Exosomes,P68371
10399,GNB2L1,34,Exosomes,P63244
10409,BASP1,24,Exosomes,P80723
10449,ACAA2,19,Exosomes,P42765
10465,PPIH,28,Exosomes,O43447
10483,SEC23B,19,Exosomes,Q15437
10487,CAP1,38,Exosomes,Q01518
10492,SYNCRIP,25,Exosomes,O60506
10493,VAT1,42,Exosomes,Q99536
10521,DDX17,27,Exosomes,Q92841
10528,NOP56,22,Exosomes,O00567
10541,ANP32B,23,Exosomes,Q92688
10544,PROCR,14,Exosomes,Q9UNN8
10562,OLFM4,19,Exosomes,Q6UX06
10574,CCT7,35,Exosomes,Q99832
10575,CCT4,39,Exosomes,P50991
10576,CCT2,43,Exosomes,P78371
10581,IFITM2,28,Exosomes,Q01629
10589,DRAP1,25,Exosomes,Q14919
10594,PRPF8,32,Exosomes,Q6P2Q9
10627,MYL12A,29,Exosomes,O14950
10672,GNA13,34,Exosomes,Q14344
10694,CCT8,44,Exosomes,P50990
10801,SEPT9,20,Exosomes,Q9UHD8
10890,RAB10,38,Exosomes,P61026
10923,SUB1,24,Exosomes,P53999
10938,EHD1,34,Exosomes,Q9H4M9
10960,LMAN2,13,Exosomes,Q12907
10963,STIP1,36,Exosomes,P31948
10971,YWHAQ,40,Exosomes,P27348
10972,TMED10,33,Exosomes,P49755
10985,GCN1L1,22,Exosomes,Q92616
11021,RAB35,35,Exosomes,Q15286
11151,CORO1A,35,Exosomes,P31146
11335,CBX3,29,Exosomes,Q13185
22800,RRAS2,35,Exosomes,P62070
22820,COPG1,28,Exosomes,Q9Y678
22870,PPP6R1,17,Exosomes,Q9UPN7
22872,SEC31A,20,Exosomes,O94979
22948,CCT5,41,Exosomes,P48643
23020,SNRNP200,25,Exosomes,O75643
23075,SWAP70,22,Exosomes,Q9UH65
23157,SEPT6,31,Exosomes,Q14141
23191,CYFIP1,30,Exosomes,Q7L576
23193,GANAB,23,Exosomes,Q14697
23345,SYNE1,4,Exosomes,Q8NF91
23406,COTL1,23,Exosomes,Q14019
23446,SLC44A1,26,Exosomes,Q8WWI5
23451,SF3B1,24,Exosomes,O75533
23549,DNPEP,17,Exosomes,Q9ULA0
25816,TNFAIP8,26,Exosomes,O95379
25824,PRDX5,27,Exosomes,P30044
25932,CLIC4,30,Exosomes,Q9Y696
26212,OR2B6,1,Exosomes,P58173
26275,HIBCH,17,Exosomes,Q6NVY1
26998,FETUB,2,Exosomes,Q9UGM5
26999,CYFIP2,16,Exosomes,Q96F07
27240,SIT1,25,Exosomes,Q9Y3P8
27335,EIF3K,23,Exosomes,Q9UBQ5
28988,DBNL,24,Exosomes,Q9UJU6
29789,OLA1,24,Exosomes,Q9NTK5
30844,EHD4,29,Exosomes,Q9H223
30845,EHD3,32,Exosomes,Q9NZN3
50809,HP1BP3,24,Exosomes,Q5SSJ5
51004,COQ6,23,Exosomes,Q9Y2Z9
51071,DERA,24,Exosomes,Q9Y315
51257,MARCH2,1,Exosomes,Q9P0N8
51279,C1RL,2,Exosomes,Q9NZP8
51386,EIF3L,32,Exosomes,Q9Y262
51552,RAB14,36,Exosomes,P61106
51571,FAM49B,35,Exosomes,Q9NUQ9
51602,NOP58,20,Exosomes,Q9Y2X3
51631,LUC7L2,28,Exosomes,Q9Y383
51762,RAB8B,38,Exosomes,Q92930
51765,MST4,19,Exosomes,Q9P289
54331,GNG2,25,Exosomes,P59768
54433,GAR1,26,Exosomes,Q9NY12
54732,TMED9,17,Exosomes,Q9BVK6
54832,VPS13C,22,Exosomes,Q709C8
55114,ARHGAP17,14,Exosomes,Q68EM7
55236,UBA6,21,Exosomes,A0AVT1
55577,NAGK,28,Exosomes,Q9UJ70
55737,VPS35,35,Exosomes,Q96QK1
55748,CNDP2,38,Exosomes,Q96KP4
55752,SEPT11,22,Exosomes,Q9NVA2
55832,CAND1,23,Exosomes,Q86VP6
55845,BRK1,23,Exosomes,Q8WUW1
55920,RCC2,22,Exosomes,Q9P258
57048,PLSCR3,25,Exosomes,Q9NRY6
57153,SLC44A2,23,Exosomes,Q8IWA5
57705,WDFY4,3,Exosomes,Q6ZS81
57826,RAP2C,36,Exosomes,Q9Y3L5
58533,SNX6,20,Exosomes,Q9UNH7
59339,PLEKHA2,1,Exosomes,Q9HB19
64005,MYO1G,32,Exosomes,B0I1T2
65108,MARCKSL1,37,Exosomes,P49006
79026,AHNAK,33,Exosomes,Q09666
80727,TTYH3,23,Exosomes,Q9C0H2
81611,ANP32E,22,Exosomes,Q9BTT0
81873,ARPC5L,24,Exosomes,Q9BPX5
81876,RAB1B,26,Exosomes,Q9H0U4
83442,SH3BGRL3,29,Exosomes,Q9H299
