ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
10095,O15143,ARPC1B,20,Exosomes
10096,P61158,ACTR3,35,Exosomes
10097,P61160,ACTR2,39,Exosomes
10109,O15144,ARPC2,33,Exosomes
10121,P61163,ACTR1A,33,Exosomes
10128,P42704,LRPPRC,12,Exosomes
10168,O14709,ZNF197,1,Exosomes
10211,O75955,FLOT1,73,Exosomes
10236,O43390,HNRNPR,23,Exosomes
10376,P68363,TUBA1B,56,Exosomes
10383,P68371,TUBB4B,56,Exosomes
10399,P63244,GNB2L1,38,Exosomes
10483,Q15437,SEC23B,17,Exosomes
10487,Q01518,CAP1,42,Exosomes
10527,O95373,IPO7,14,Exosomes
10539,O76003,GLRX3,10,Exosomes
10574,Q99832,CCT7,51,Exosomes
10575,P50991,CCT4,50,Exosomes
10576,P78371,CCT2,65,Exosomes
10672,Q14344,GNA13,45,Exosomes
10694,P50990,CCT8,54,Exosomes
10890,P61026,RAB10,60,Exosomes
10971,P27348,YWHAQ,79,Exosomes
11021,Q15286,RAB35,48,Exosomes
11151,P31146,CORO1A,20,Exosomes
22800,P62070,RRAS2,28,Exosomes
22820,Q9Y678,COPG1,16,Exosomes
22931,Q9NP72,RAB18,17,Exosomes
22948,P48643,CCT5,61,Exosomes
23011,Q9UL25,RAB21,28,Exosomes
23157,Q14141,SEPT6,7,Exosomes
23317,O75165,DNAJC13,18,Exosomes
23406,Q14019,COTL1,19,Exosomes
23521,P40429,RPL13A,21,Exosomes
25873,Q9Y3U8,RPL36,16,Exosomes
26140,Q9Y4R7,TTLL3,4,Exosomes
26578,Q92882,OSTF1,8,Exosomes
26958,Q9UBF2,COPG2,9,Exosomes
30845,Q9NZN3,EHD3,24,Exosomes
51035,Q04323,UBXN1,4,Exosomes
51552,P61106,RAB14,54,Exosomes
51762,Q92930,RAB8B,43,Exosomes
55577,Q9UJ70,NAGK,15,Exosomes
55619,Q96BY6,DOCK10,11,Exosomes
55737,Q96QK1,VPS35,29,Exosomes
55748,Q96KP4,CNDP2,27,Exosomes
60412,Q96A65,EXOC4,11,Exosomes
79026,Q09666,AHNAK,40,Exosomes
79585,P57737,CORO7,8,Exosomes
81704,Q8NF50,DOCK8,10,Exosomes
81876,Q9H0U4,RAB1B,46,Exosomes
83706,Q86UX7,FERMT3,22,Exosomes
84790,Q9BQE3,TUBA1C,45,Exosomes
84836,Q96IU4,ABHD14B,14,Exosomes
85235,Q96KK5,HIST1H2AH,29,Exosomes
