ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
333932,HIST2H3A,30,Microparticles,Q71DI3
388697,HRNR,23,Microparticles,Q86YZ3
399687,MYO18A,20,Microparticles,Q92614
554313,HIST2H4B,89,Microparticles,P62805
653361,NCF1,1,Microparticles,P14598
653604,HIST2H3D,27,Microparticles,Q71DI3
723790,HIST2H2AA4,30,Microparticles,Q6FI13
728689,EIF3CL,4,Microparticles,B5ME19
1,A1BG,24,Exosomes,P04217
12,SERPINA3,30,Exosomes,P01011
48,ACO1,36,Exosomes,P21399
52,ACP1,33,Exosomes,P24666
53,ACP2,23,Exosomes,P11117
55,ACPP,24,Exosomes,P15309
95,ACY1,21,Exosomes,Q03154
107,ADCY1,8,Exosomes,Q08828
128,ADH5,25,Exosomes,P11766
130,ADH6,4,Exosomes,P28332
143,PARP4,17,Exosomes,Q9UKK3
197,AHSG,31,Exosomes,P02765
203,AK1,33,Exosomes,P00568
210,ALAD,21,Exosomes,P13716
214,ALCAM,21,Exosomes,Q13740
216,ALDH1A1,40,Exosomes,P00352
217,ALDH2,13,Exosomes,P05091
221,ALDH3B1,17,Exosomes,P43353
223,ALDH9A1,32,Exosomes,P49189
230,ALDOC,46,Exosomes,P09972
231,AKR1B1,38,Exosomes,P15121
238,ALK,3,Exosomes,Q9UM73
239,ALOX12,7,Exosomes,P18054
249,ALPL,17,Exosomes,P05186
259,AMBP,24,Exosomes,P02760
290,ANPEP,53,Exosomes,P15144
301,ANXA1,113,Exosomes,P04083
306,ANXA3,57,Exosomes,P12429
310,ANXA7,89,Exosomes,P20073
312,ANXA13,19,Exosomes,P27216
316,AOX1,11,Exosomes,Q06278
317,APAF1,2,Exosomes,O14727
325,APCS,35,Exosomes,P02743
335,APOA1,53,Exosomes,P02647
336,APOA2,23,Exosomes,P02652
337,APOA4,1,Exosomes,P06727
347,APOD,33,Exosomes,P05090
348,APOE,67,Exosomes,P02649
357,SHROOM2,3,Exosomes,Q13796
358,AQP1,24,Exosomes,P29972
359,AQP2,25,Exosomes,P41181
388,RHOB,20,Exosomes,P62745
391,RHOG,56,Exosomes,P84095
392,ARHGAP1,23,Exosomes,Q07960
403,ARL3,20,Exosomes,P36405
415,ARSE,2,Exosomes,P51690
416,ARSF,9,Exosomes,P54793
427,ASAH1,23,Exosomes,Q13510
435,ASL,15,Exosomes,P04424
439,ASNA1,9,Exosomes,O43681
445,ASS1,30,Exosomes,P00966
481,ATP1B1,57,Exosomes,P05026
486,FXYD2,4,Exosomes,P54710
525,ATP6V1B1,27,Exosomes,P15313
526,ATP6V1B2,53,Exosomes,P21281
